geneid	Genomic	RNA1	RNA2	H3K4me3	H3K36me3	H3K56ac	H3K27me3	ATAC	Promoter_ATAC	Promoter_H3K4me3	Promoter_H3K36me3	Promoter_H3K56ac	Promoter_H3K27me3	UP_ATAC	UP_H3K4me3	UP_H3K36me3	UP_H3K56ac	UP_H3K27me3	DOWN_ATAC	DOWN_H3K4me3	DOWN_H3K36me3	DOWN_H3K56ac	DOWN_H3K27me3	DOWN_ATAC_cov	UP_ATAC_cov	ATAC_cov	Promoter_ATAC_cov	DOWN_Meth_cov	UP_Meth_cov	Promoter_Meth_cov	Meth_cov	DOWN_Genomic_cov	UP_Genomic_cov	DOWN_H3K27me3_cov	UP_H3K27me3_cov	H3K27me3_cov	Promoter_H3K27me3_cov	DOWN_H3K36me3_cov	UP_H3K36me3_cov	H3K36me3_cov	Promoter_H3K36me3_cov	DOWN_H3K4me3_cov	UP_H3K4me3_cov	H3K4me3_cov	Promoter_H3K4me3_cov	DOWN_H3K56ac_cov	UP_H3K56ac_cov	H3K56ac_cov	Promoter_H3K56ac_cov	RNA1_cov	RNA2_cov	gene_body_meth	promoter_meth	UP_meth	DOWN_meth	HAP1_promoter_del	HAP2_promoter_del	dn_ds_hap1	dn_ds_hap2	RNA_BOTH	RNA_cov_both
FAIR_000375-T1	0.345774837	0.859822342	0.425305835	0.096215315	-0.415037499	-0.115477217	-0.321928095	-0.633872101	-0.283792966	0.2410081	0.530514717	0.415037499	-2.321928095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.198494154	3.298658316	NA	NA	-2.914460514	-2.521197721	NA	NA	NA	NA	1.14404637	0.98550043	NA	NA	2.99095486	2.462052319	NA	NA	2.657640005	2.541019153	NA	NA	1.565597176	1.263034406	3.900391419	3.945944573	1.943416472	0.099535674	NA	NA	0	0	-1	0	0.642564088	3.923167996
FAIR_000385-T1	-0.367731785	-0.026861952	-0.091683112	-0.514573173	0.133266531	-1.321928095	-0.459431619	0.577057303	0.334419039	-0.584962501	0	-1.247927513	-1	-0.223964841	0.099535674	0.893084796	0.192645078	-0.415037499	-1.342392197	-2.070389328	0.847996907	-1.584962501	NA	4.656496371	5.10349764	3.908812908	3.6622055	-2.747008627	-5.27389222	-3.385329419	-3.854170809	4.375734539	4.135042286	0.464668267	0.687060688	1.244887059	1.097610797	2.427606173	1.150559677	2.931683057	3.782408565	2.788685711	1.521050737	2.718087584	4.012568674	2.548436625	0.855989697	1.275007047	3.196921734	8.815566493	8.803340714	-2.321928095	1	-0.125530882	1	0	0	NA	NA	-0.059272532	8.809453604
FAIR_000388-T1	0.163698427	0.872620694	0.862496476	0.439532061	0.083657929	0.584962501	0.362570079	-0.140481224	0.752072487	1.169925001	0.736965594	1.584962501	NA	0	0	NA	NA	NA	-1.342392197	-2.070389328	0.847996907	-1.584962501	NA	4.656496371	5.644433152	3.679198571	3.621758857	-2.747008627	-2.831077405	-2.811577549	-6.096206824	4.375734539	4.965322548	0.464668267	0.799087306	1.014355293	0.344828497	2.427606173	1.150559677	2.9202933	1.321928095	2.788685711	1.220329955	3.160274831	1.744161096	2.548436625	0.695993813	2.250961574	1.014355293	3.921159209	3.831813736	-3.087462841	1	0.275634443	1	0	0	1.584962501	1	0.867558585	3.876486473
FAIR_000437-T1	-0.094250326	0.478462879	0.876768234	0.192645078	-0.341036918	-1.169925001	-0.459431619	-0.231325546	-0.064130337	-0.807354922	-0.415037499	-0.736965594	-0.584962501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.613531653	3.618238656	NA	NA	-2.94241812	-3.316237062	NA	NA	NA	NA	1.22650853	1.298658316	NA	NA	2.704871964	3.46727948	NA	NA	2.153805336	3.589763487	NA	NA	1.521050737	2.969012308	5.202230501	5.214756863	0	-0.214124805	NA	NA	0	0	-1.584962501	-1.584962501	0.677615557	5.208493682
FAIR_000445-T1	-0.100227448	0.962329582	0.806716703	-0.067114196	0.044394119	0.310340121	1.678071905	0.641546029	-0.032421478	0.040641984	1.925999419	1.362570079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.026800059	NA	3.656496371	2.969012308	-3.90481953	NA	-0.627494696	-2.441049453	5.116863758	NA	1.263034406	NA	1.15704371	0.650764559	1.516015147	NA	2.813524689	1.111031312	2.49057013	NA	2.813524689	2.014355293	2.786596362	NA	2.063502942	1.526068812	6.572192714	6.537883308	NA	NA	NA	0	0	0	0.584962501	0	0.884523142	6.555038011
FAIR_000457-T1	-0.039528364	1.498250868	1.051838932	-0.584962501	-0.678071905	0.415037499	0	-0.106915204	-0.584962501	0	-0.584962501	-0.584962501	1.321928095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.275752049	2.493134922	NA	NA	-2.343474073	-4.222028663	NA	NA	NA	NA	1.014355293	1.111031312	NA	NA	1.98550043	0.5360529	NA	NA	2.72900887	0.895302621	NA	NA	2.454175893	0.992768431	6.233829182	6.179251965	-0.584962501	0.173064709	NA	NA	0	0	0	-1	1.2750449	6.206540573
FAIR_000496-T1	0.138546813	0.098448488	-0.162897735	-0.183446141	0	-0.665580961	-0.584962501	-0.074962058	-0.607682577	-1.415037499	NA	0.485426827	1.736965594	-0.563900885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.648465443	3.648465443	2.773996325	NA	-2.12516055	-2.776857046	-2.527907969	NA	4.758089934	NA	1.124328135	1.201633861	0.695993813	NA	1.028569152	3.037382222	0.807354922	NA	1.214124805	2.675815931	1.416839742	NA	0.941106311	1.839959587	1.250961574	5.68496098	5.621350846	-0.187202993	0.450661409	NA	NA	0	0	-1	0.584962501	-0.032224623	5.653155913
FAIR_000536-T1	0.033358597	0.977515986	0.778151479	-0.139724764	0.427421224	-0.514573173	0	0	-0.034765418	0.192645078	1.169925001	1.321928095	-0.321928095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.944858446	3.539779192	NA	NA	-3.138127287	-3.049844846	NA	NA	NA	NA	1.10433666	0.941106311	NA	NA	3.220329955	1.201633861	NA	NA	3.317593505	1.350497247	NA	NA	1.952333566	1.084064265	4.995142817	5.022707023	-0.866733469	-0.987060944	NA	NA	0	0	1	-1	0.877833732	5.00892492
FAIR_000565-T1	-0.074000581	-0.877010033	-0.843832189	-0.479167837	-0.0489096	-0.61667136	1.807354922	0.036836768	-0.222392421	0	0.263034406	1	1.321928095	NA	0.584962501	-0.736965594	NA	NA	NA	NA	NA	NA	NA	NA	5.101397952	4.066950244	3.23878686	NA	-2.922290127	-2.808813232	-2.850339574	NA	5.095502518	NA	0.847996907	1.201633861	0.748461233	NA	2.650764559	2.780310099	1.757023247	NA	3.037382222	2.790772038	1.575312331	NA	1.790772038	1.906890596	1.361768359	6.507353158	6.481355493	-0.552541023	0.39665897	2.321928095	NA	0	0	1	1	-0.860421111	6.494354325
FAIR_000587-T1	-0.189477799	-0.751451928	-0.755016874	0.158697746	-1.584962501	0.447458977	-1.736965594	-0.139162748	0.420843121	0.144389909	1	-1.362570079	-2	0.161829697	-0.273018494	0	-0.550197083	-2.459431619	0.264377072	-0.469485283	-1.459431619	-1.584962501	-2.502500341	5.227039442	5.192930346	4.672990994	4.527946099	-2.884147576	-2.708030008	-2.003589297	-7.273744	4.964847446	4.882117894	1.145412546	1.132245612	2.063502942	0.731183242	1.280839467	1.345062154	1.599317794	0.422233001	1.678504347	2.016650734	3.214124805	1.361768359	2.544053508	2.482366808	3.580145484	1.757023247	12.30881628	12.28530382	0	0.144389909	-0.485426827	-0.494764692	0	0	NA	NA	-0.753234401	12.29706005
FAIR_000595-T1	-1.207595419	1.874469118	1.584962501	1	0.125530882	0	-2.807354922	-0.847996907	-0.459431619	-1	NA	0.584962501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.385431037	3.019701914	NA	NA	-2.116154486	-3.64710362	NA	NA	NA	NA	1.14404637	0.475084883	NA	NA	2.845991771	1.799087306	NA	NA	2.771885579	1.827819025	NA	NA	1.887525271	1.448900951	2.902007572	2.847175195	-0.807354922	0.280107919	NA	NA	0	0	NA	NA	1.729715809	2.874591383
FAIR_000632-T1	-0.422233001	-2.584962501	-2.722466024	-0.131244533	0.652076697	0.321928095	-0.222392421	0	NA	-0.415037499	NA	0.584962501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.046578367	NA	3.147306699	2.786596362	-7.542667287	NA	-3.836033204	-4.421889823	5.63197732	NA	0.604071324	NA	1.257010618	1.565597176	1.531069493	NA	1.560714954	1.411426246	1.996388746	NA	2.63691458	2.565597176	1.757023247	NA	1.691534165	1.427606173	2.714601117	2.843965519	0	NA	NA	NA	0	0	1.584962501	-0.584962501	-2.653714263	2.779283318
FAIR_000662-T1	-0.315687155	-0.770518154	-0.592122292	-0.628031223	1.343954401	-0.634715536	1.362570079	0.150025444	-1	-0.736965594	NA	0	NA	-0.283393493	-0.353636955	4.247927513	-0.304854582	1.415037499	-0.480625841	-0.087462841	3.700439718	-0.234465254	2.584962501	4.952001158	5.418416525	4.234961095	4.850499414	-3.67543362	-3.596021044	-2.107437539	-3.734117206	5.146614306	4.902786498	1.050825038	0.782798588	1.244887059	0.659924558	1.764123119	1.062445272	2.253989266	0.516015147	2.732154428	1.771871661	2.568032105	1.843983844	2.574178293	1.081926461	2.592158002	1.372952098	5.395316952	5.352258186	0.180572246	NA	-1	-1	0	0	0	0	-0.681320223	5.373787569
FAIR_000745-T1	0.063565129	0.411919996	0.502702867	-0.578359766	-0.138706271	0.584962501	-1	0.048609944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.381870635	0.263034406	0.321928095	-0.736965594	-0.415037499	5.133813075	5.228049048	3.801158656	3.379898164	-2.778565354	-6.159768157	-3.381184092	-2.588545761	5.122831492	5.111031312	0.507034791	0.40053793	0.895302621	0.992768431	1.881068085	2.40599236	3.061776198	1	1.605817627	1.948600847	2.718087584	1.704871964	1.775327225	2.217230716	1.843983844	1.350497247	5.779788869	5.732695689	-0.150678912	-1.099535674	NA	1.253756592	0	0	-1	-1.584962501	0.457311431	5.756242279
FAIR_000750-T1	0.279154071	-1.035128223	-0.955757162	-0.234465254	0	0.131244533	-0.263034406	0.177787119	-0.807354922	NA	1.321928095	0	3.169925001	-0.797811149	0.247927513	0.700439718	-1.584962501	-1.263034406	0.500428991	0.263034406	-0.736965594	1.736965594	-0.584962501	4.961160258	4.522934561	3.468583317	3.089159132	-4.431029262	-4.522186228	-2.319988555	-2.406151605	5.068670811	3.901108243	0.86393845	1.084064265	1.09085343	0.59454855	1.646162657	1.704871964	3.026800059	1.182692298	2.10433666	1.748461233	3.09423607	0.910732662	2.032100843	1.269033146	2.046141782	0.807354922	5.22361489	5.271306219	-0.308122295	-0.047305715	0	NA	0	0	-1.584962501	0	-0.995442693	5.247460554
FAIR_000769-T1	0.053439259	0.897240426	0.953706348	0.192645078	-0.830074999	0.169925001	-1.807354922	0.270089163	NA	-0.736965594	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.59454855	3.931683057	NA	NA	-3.067424629	-3.634065676	NA	NA	NA	NA	0.933572638	0.918386234	NA	NA	2.939226578	2	NA	NA	2.587364991	2.250961574	NA	NA	1.384049807	1.510961919	5.408378316	5.425761635	0.623436649	2	NA	NA	0	0	0	-1	0.925473387	5.417069975
FAIR_000864-T1	NA	-6.87036472	-7.129283017	NA	-0.415037499	0.415037499	2.807354922	-1.678071905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.042644337	2.09085343	NA	NA	-2.833191209	-4.234698216	NA	NA	NA	NA	2.247927513	1.384049807	NA	NA	0.887525271	0.970853654	NA	NA	2.408711861	1.275007047	NA	NA	0.895302621	0.659924558	3.58214368	3.598317319	-1.584962501	NA	NA	NA	0	0	NA	NA	-6.999823868	3.590230499
FAIR_000899-T1	-0.198176184	-5.813781191	-5.649784502	-2.674599713	-2.700439718	-1.350497247	-1.231325546	-1.018983103	-4.459431619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.308521062	3.816599707	3.684818738	NA	-5.91956973	-2.328753445	-1.728805275	NA	5.575312331	NA	1.632268215	1.469885976	1.641546029	NA	1.618238656	2.56315813	3.464668267	NA	2.22650853	1.879705766	3.493134922	NA	1.843983844	1.691534165	1.550900665	7.142698753	7.174595599	1.201958829	-0.736965594	NA	NA	0	0	1.807354922	-1.584962501	-5.731782846	7.158647176
FAIR_000934-T1	-0.142019005	-1.048197293	-1.023083613	-0.304854582	0.222392421	0.192645078	NA	0.101879614	0.36994961	0.637429921	0.485426827	-0.415037499	-1.415037499	0.236857783	0.169925001	0.938599455	0.415037499	-1.115477217	0.306661338	0.078002512	0.736965594	0.275634443	-0.584962501	4.807354922	5.194590636	4.734438666	4.743622676	-2.514913581	-2.745970846	-2.633567564	-0.894952233	5.138323004	4.918663792	1.910732662	0.810626665	2.13093087	1.333423734	2.295723025	1.208853969	2.422233001	1.500802053	3.514753498	1.488467419	3.862947248	1.731183242	3.142413438	1.833815035	3.323370069	2.49057013	10.46108297	10.48674559	0.884522783	-0.95419631	0.029343962	0.884522783	0	0	0	0	-1.035640453	10.47391428
FAIR_000971-T1	-0.210566986	-1.126757142	-1.184424571	0.337034987	-0.652076697	-0.469485283	2.584962501	-0.072149786	-0.624490865	0	-2.459431619	-0.415037499	0.807354922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.905928478	3.365972428	NA	NA	-2.074144481	-2.937421408	NA	NA	NA	NA	1	0.748461233	NA	NA	2.017921908	1.169925001	NA	NA	1.761285273	1.070389328	NA	NA	1.316145742	1.182692298	2.798993628	2.73119058	0.146841388	1.126757142	NA	NA	0	0	0.584962501	-0.584962501	-1.155590857	2.765092104
FAIR_000972-T1	-0.169925001	-0.253756592	-0.307572802	0.169925001	-0.15324626	-0.46712601	1.247927513	-0.087462841	1.087462841	-1	NA	0	NA	NA	0.678071905	NA	1.321928095	NA	NA	NA	NA	NA	NA	NA	5.195741293	3.465974465	2.752748591	NA	-2.537120553	-3.316134156	-2.965016088	NA	5.09000653	NA	0.59454855	1.070389328	0.411426246	NA	1.807354922	3.125981654	0.799087306	NA	3.177917792	1.952333566	1.232660757	NA	2.813524689	1.459431619	1.321928095	3.747671067	3.740996848	0.720845929	-0.018378529	-0.943416472	NA	0	0	-1	0	-0.280664697	3.744333958
FAIR_001279-T1	-0.077229073	0.677356105	0.923613953	0.289506617	0.029146346	0.402098444	-0.485426827	0.196095678	-0.252387162	1	0.807354922	-0.584962501	0.263034406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.595742339	4.295723025	NA	NA	-2.429391758	-3.192328727	NA	NA	NA	NA	0.757023247	0.782408565	NA	NA	1.575312331	1.40053793	NA	NA	1.82374936	1.469885976	NA	NA	1.384049807	1.40053793	4.186361996	4.094594399	-0.343732465	-0.063193826	NA	NA	0	0	-0.415037499	0	0.800485029	4.140478198
FAIR_001291-T1	-0.214594051	-3.470319935	-4.118941073	-0.222392421	-0.485426827	-0.584962501	0.584962501	-0.707819249	-0.593679718	-1.321928095	-0.584962501	0.192645078	0.321928095	-0.773996325	-0.736965594	-0.736965594	0.308122295	0.584962501	-0.733825887	-1.321928095	-0.847996907	0.192645078	0.321928095	4.959770155	4.965771801	3.981852653	4.8928767	-2.601212074	-3.033696526	-2.651464261	-2.793509511	5.084064265	5.12619269	1.007195501	1.028413135	1.361768359	0.97819563	1.097610797	1.355571225	1.150559677	0.98550043	1.03562391	1.322216576	2.316145742	0.713695815	2.292781749	2.229748597	2.589763487	2.056583528	5.415188563	5.296832059	0.652076697	-0.190822342	-0.190822342	-0.190822342	0	0	0	-1	-3.794630504	5.356010311
FAIR_001297-T1	0.010492374	0.701658725	0.459015196	-0.076961982	0.028014376	0.021695071	-0.014075185	0.091388544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.855989697	0.214124805	NA	NA	NA	-2.756595237	NA	NA	NA	NA	1.250961574	0	NA	NA	1.361768359	0	NA	NA	1.622930351	0	NA	NA	1.580145484	0	2.571153779	2.540186861	0.82544355	NA	NA	NA	0	0	0	1.678071905	0.580336961	2.55567032
FAIR_001446-T1	-0.027859804	1.664251411	1.161463423	-0.517399217	-0.096215315	0.392317423	-0.362570079	0.376305105	-0.94753258	0.777607579	0.263034406	0.169925001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.64385619	2.283921772	NA	NA	-6.248488975	-4.786915052	NA	NA	NA	NA	0.847996907	0.201633861	NA	NA	1.432959407	0.485426827	NA	NA	2.124328135	1.207892852	NA	NA	1.933572638	0.799087306	3.793666697	3.705802963	1	1	NA	NA	0	0	1	0	1.412857417	3.74973483
FAIR_001450-T1	-0.154935827	0.586062535	0.57362941	0.049753035	0.239465935	0.440572591	1.070389328	0.038474148	0.271302022	NA	-3	-2.807354922	0.415037499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.533563348	3.343407822	NA	NA	-3.230226938	-2.610727634	NA	NA	NA	NA	1.117695043	0.59454855	NA	NA	2.847996907	1.448900951	NA	NA	2.427606173	1.495695163	NA	NA	1.735522177	0.933572638	5.652989463	5.655206879	-0.075288127	-1.078002512	NA	NA	1	0	-0.584962501	0.584962501	0.579845973	5.654098171
FAIR_001472-T1	-0.090197809	1.290631964	1.404523278	-3.632268215	-1.222392421	0.658963082	-0.925999419	1.239827015	-0.40599236	-1.440572591	0	1.222392421	-1.584962501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.931683057	3.570462931	NA	NA	-3.578348757	-1.530496169	NA	NA	NA	NA	0.59454855	0.815575429	NA	NA	0.475084883	1.007195501	NA	NA	1.655351829	2.09423607	NA	NA	1.007195501	1.565597176	4.660716393	4.541454718	1.491853096	0.257797757	NA	NA	0	0	NA	NA	1.347577621	4.601085556
FAIR_001514-T1	-0.09404349	1.127755547	0.584962501	0.121990524	-0.199308808	0.514573173	-1.415037499	-0.033947332	-0.932885804	0.938599455	-0.087462841	0.584962501	-0.736965594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.925999419	2.641546029	NA	NA	-2.772547162	-2.594481905	NA	NA	NA	NA	1.10433666	0.82374936	NA	NA	3.285402219	1.996388746	NA	NA	2.283921772	2.424922088	NA	NA	1.422233001	2.084064265	4.097017531	4.165362039	-0.40599236	-1.23786383	NA	NA	0	0	1	0	0.856359024	4.131189785
FAIR_001528-T1	-0.086057782	0.255574543	0.448423668	0.157100961	-1.118181426	0.927850214	0.165059246	0.479167837	-0.02774499	1.078002512	1.502500341	-0.137503524	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.329123596	3.725741157	NA	NA	-3.215939383	-3.160333152	NA	NA	NA	NA	1.10433666	1.169925001	NA	NA	1.835924074	1.321928095	NA	NA	2.381283373	1.704871964	NA	NA	1.565597176	1.3950628	5.24874716	5.179864838	-0.190331212	-0.03562391	NA	NA	0	0	-0.321928095	0	0.351999105	5.214305999
FAIR_001533-T1	0.314510623	0.314510623	0.648738411	0.214124805	0.847996907	0.273018494	0.485426827	0.239950793	-0.04918755	1.321928095	1.169925001	0.415037499	3	-0.145605322	0.099535674	1.700439718	0.074000581	2.321928095	-0.071823181	0.08246216	0.263034406	0.415037499	0.807354922	5.186001381	5.484138131	4.767125077	5.771093252	-2.988861977	-2.686171189	-2.253927572	-3.66595082	4.760505405	5.091276694	0.959066878	1.13093087	1.244887059	0.704871964	1.103183886	1.15704371	1.416839742	1.021479727	2.348396996	2.456806149	3.379898164	1.23878686	2.430632388	2.454175893	3.3305584	1.618238656	7.212900619	7.116099803	-1	-0.12156198	-0.120294234	-0.013546532	0	0	1.584962501	-1	0.481624517	7.164500211
